DATE,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
05/06/2024,Tripura,38.25,,39,87,144.33,128,111.25,103.75,48,70.25,,131.75,122.67,116,139.75,100.25,69.25,221.5,10,33.75,34.25,39
05/06/2024,Uttar Pradesh,38.57,26.15,32.33,81.92,154.09,119.12,113.88,93.54,43.61,62.73,188.86,138.99,128.14,131.03,152.96,110.84,48.53,239.84,26.63,24.2,28.12,27.08
05/06/2024,Uttarakhand,37.75,27,33.75,88.5,145.5,114.5,112.75,99.25,42.5,60,154.5,138.5,130.75,132,146.75,116.5,56,264,28,27.5,26.75,23.25
05/06/2024,West Bengal,44.48,30.1,37.43,84.9,155.9,125.45,126.81,105.62,45.9,55,200.9,132.33,111.76,113.52,126.67,99.47,52.29,272.81,22,28.24,31.62,35.81
06/06/2024,Andaman and Nicobar,48.33,,68,95,171,154.33,136,100.67,54.33,73,232.5,173,178.33,,132.67,118.67,77.33,308.33,19.67,56.67,53.33,76.67
06/06/2024,Andhra Pradesh,60.25,44,44.25,89.25,176.25,135.5,125.25,97.5,43.5,59,164.75,164,110.5,124.5,109.25,91.5,60.25,350,22.25,33,28,39.75
06/06/2024,Arunachal pradesh,46,45,44.75,99.25,151.75,133.25,123.25,103.25,53.33,75.33,143.5,154.33,152.33,136,177.67,,76.5,301,19.33,32.33,40,50
06/06/2024,Assam,42.82,32.15,36.14,87.82,157.93,115.38,116,92.18,47.22,71.31,208.14,149.93,136.18,137.89,148,115.16,59.26,252.74,13.37,29.46,35.14,37.12
06/06/2024,Bihar,37.84,26.69,33,80.88,152.75,121.47,113.84,79.84,44.23,55.94,180.64,133.84,120.71,124.42,157.04,101.81,47.52,278.55,22.81,22.29,29.94,29.1
06/06/2024,Chandigarh,40,32,35,88,148,120,119,98,44,62,190,148,122,129,137,105,52,280,27,24,32,35
06/06/2024,Chhattisgarh,41.14,38.57,40.29,93.71,166.29,115.29,114.86,97.14,43.29,55.71,201,151.14,130.86,133,146.57,117.14,47,262,22.71,27.71,32.43,29
06/06/2024,Delhi,40,29,31,92,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,30,35,28
06/06/2024,DNH and DD,50,41,47.33,90,174.67,144.67,131.33,95,43.33,65,192,148,134,134.67,127,107.67,63.67,350,27.33,32,30,39
06/06/2024,Goa,52.5,48,45.5,92.5,175,150,131.5,98,44,57.5,220.5,157.5,140,148,115,98.5,59,329,24.5,40.5,38,50.5
06/06/2024,Gujarat,43.86,38.14,40.86,86.57,170.43,125.29,116.86,92.71,42.43,61.43,178.14,144.71,130,130,126.14,104.86,54.17,252,15.33,30.29,31,31.86
06/06/2024,Haryana,49,30.5,33.5,82,142,116,115,100.5,44.5,62,187.5,129.5,126,130.5,149,117,49.5,261,27.5,19,30.5,23.5
06/06/2024,Himachal Pradesh,41,22,33.33,85.58,164.42,134,116.17,88.42,47.25,52.08,219.5,160.67,137.5,129.1,143.5,118,48.58,269.58,27.5,30.42,35,29
06/06/2024,Jammu and Kashmir,46,29.8,37,91.33,153.67,128.67,123.33,100.5,52.33,51.5,,147,133.5,128.67,144.8,126,55,315,27.5,29.83,35.17,35.33
06/06/2024,Jharkhand,39.37,31.39,34.84,80.89,156.42,119.68,111.63,82.37,45.56,59,178.92,138.05,123.95,126,151,103.53,48.94,288.94,24.33,26.05,29,29.58
06/06/2024,Karnataka,60.03,43.81,47.23,93.81,166.19,141.81,127.52,107.03,42.71,50.17,179.06,163.58,119.84,137,119.9,97.9,52.29,291.6,20.33,36.58,33.16,37.71
06/06/2024,Kerala,50.83,44.83,45.58,102.18,183,150,136.2,116,44.23,54.38,223.29,173.1,143.23,130,117.69,100.91,62.31,234.31,15.23,47.54,35.69,63.69
06/06/2024,Madhya Pradesh,40.9,28.85,34.31,85.81,164.02,120,115.31,91.29,43.28,57.57,189.23,135.28,120.47,112.45,136.63,110.36,47.45,249.36,19.74,25.49,25.79,26.77
06/06/2024,Maharashtra,51.68,38.26,42.53,89.58,174.53,134.74,127.74,96.89,42.84,59.58,182.16,157.78,127.79,110.95,120.79,102.19,54.74,298.84,23.32,37.21,30.37,37.63
06/06/2024,Manipur,50,45,40,105,180,145,135,90,55,,,140,130,130,125,130,85,240,25,36,47,35
06/06/2024,Meghalaya,38,38.25,36.38,91.33,168,132,121.25,90,49.25,73.63,,135.63,133,126.38,171,101.5,68.6,381.88,21,33.13,38.63,40
06/06/2024,Mizoram,48.18,42,45.9,107.44,150.71,125.86,128.11,99.55,50.27,78,159.5,185.55,170.8,128.45,183.67,130.83,119.63,479.67,29.18,40.18,53.36,75.91
06/06/2024,Nagaland,41.75,42.88,48,101.25,129.83,132.5,121.67,97.38,50.38,73.29,200,139.19,166,150.19,195,142.5,84,322.67,17.88,33.69,50.94,50
06/06/2024,Odisha,37.5,36.67,39.4,84.1,163.4,126.8,113.7,82.8,46,52.6,162.5,136.6,108.33,124.67,113.8,94,52,265.38,26.3,27.4,31.7,44
06/06/2024,Puducherry,64,45,40,91,173,134,120,90,43,48,193,146,141,,110,98,48,297,26,43,36,28
06/06/2024,Punjab,39.73,25.2,31.27,90.27,157.27,126.73,116.6,99.67,44.73,59.87,200.08,128.07,121.67,119.13,134.77,102.36,53.67,270.6,26.47,25,28.93,22.47
06/06/2024,Rajasthan,40.63,29,32.83,75.97,128.6,110.83,104.03,89.37,42.77,51.5,185.29,146.61,122.85,133.33,156.48,115.2,44.37,297.62,20.81,24.62,33.55,33.28
06/06/2024,Sikkim,54.2,35.2,38.4,85,133,126.6,124,101,49,63.4,,166,127,137.25,170.2,,59.2,410,18.6,36.4,47,42
06/06/2024,Tamil Nadu,61.67,45.88,54.91,92.5,179.97,144.35,125,93.73,44.09,47.38,204.03,173.31,126.62,,113,93.47,56.24,313.48,24.36,45.5,36.79,48.56
06/06/2024,Telangana,54,42.7,45.9,80,164,129,119,92.6,41.3,66.3,162.4,165.6,121.1,150.5,115.9,97.7,56.6,301.9,20.78,31,26.7,31.8
06/06/2024,Tripura,38.25,,39,87,144.33,128,111.25,103.75,48,70.25,,131.75,122.67,116,139.75,100.25,69.25,221.5,10,33.75,35.5,39
06/06/2024,Uttar Pradesh,38.61,26.12,32.35,82.04,154.28,119.21,114.08,93.41,43.69,62.72,188.92,139.31,127.99,130.89,152.84,110.78,48.59,239.63,26.63,24.25,28.29,27.01
06/06/2024,Uttarakhand,37.75,26.75,33.25,88.75,145.5,115,113.25,99.25,42.5,60,154.5,138.5,130.75,132.25,147,116.5,56.25,264,28,28.25,27,23.75
06/06/2024,West Bengal,44.41,30.1,37.77,85.14,156.05,125.19,129.27,106.27,46.09,55.14,200.9,132.55,112.55,113.23,126.77,99.5,52.36,274.05,22.27,28.32,31.86,37
07/06/2024,Andaman and Nicobar,48,,68,95.33,171.33,155,136.33,100.67,55.33,73,232.5,173,177,,132.67,119.33,77,308.33,19.67,56.67,53.33,76.67
07/06/2024,Andhra Pradesh,60.2,44.4,47.4,87.4,173,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143,110.4,91.2,59,327,21.8,34.75,28.5,40.75
07/06/2024,Arunachal pradesh,46,45,44.75,99.25,151.75,133.25,123.25,103.25,53.33,76,143.5,154.33,152.33,136,177.67,,77.5,298.5,17.5,32.33,40,50
07/06/2024,Assam,42.89,32,36.07,87.7,157.74,114.7,115.78,92.48,47.11,71,212.8,149.08,136.1,136.81,146.91,114,59,253.56,13.41,29.44,35.22,37.52
07/06/2024,Bihar,37.84,26.94,33.03,80.75,152.38,121.5,114.53,79.88,44.31,55.69,175.85,134.09,121.16,125.38,158.81,102.23,46.94,269.97,23.5,22.38,29.69,30.94
07/06/2024,Chandigarh,40,32,33,95,162,130,125,98,44,62,190,148,120,129,135,105,55,260,28,24,32,35
07/06/2024,Chhattisgarh,39,37.8,40.2,92.4,161.2,114.2,114.4,91.2,43,57.4,189.8,145.2,118.4,129.8,147.6,111,46.4,248,23.6,30.6,32.6,31.4
07/06/2024,Delhi,40,29,31,93,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,30,35,28
07/06/2024,DNH and DD,50,41,47.67,89.33,174.67,146.67,131,95,43.33,65,192,148.67,134,134.67,127,107.67,63.67,350,27.33,32,30,48.33
07/06/2024,Goa,52.5,48,45.5,92.5,175,150,131.5,98,44,57.5,220.5,157.5,140,148,116.5,98.5,59,329,24.5,41,38,50.5
07/06/2024,Gujarat,42.88,37.63,40.5,87.63,170.13,125.75,118.25,92.88,42.57,62,177,145,128.63,129,124.75,104.38,53.71,252.71,16.83,29.14,30.57,32.57
07/06/2024,Haryana,43.25,30,34.5,77.75,129.25,107.25,107.75,96.25,43.33,57.67,178.25,137.5,127,126,155,104.25,48.33,215,24,19,33.33,23
07/06/2024,Himachal Pradesh,40.83,22,33.33,86.58,165.92,135,115.83,88.92,47.17,52.25,219.5,161,137.5,129.1,143.5,118,48.58,270.33,27.5,30.58,36,28.83
07/06/2024,Jammu and Kashmir,47.8,28,34.4,90.6,154.4,125.4,121,100.6,51.8,52.4,,148,135,128.6,137,126,53.6,319.4,26.6,28.2,34.6,34.6
07/06/2024,Jharkhand,39.44,31.53,34.83,81.39,155.67,119.72,111.11,82.5,45.65,58.81,175.5,138.39,124.11,126.29,151.14,103.65,48.41,279.24,24.12,25.72,28.94,29.44
07/06/2024,Karnataka,60,43.73,47.6,94.47,166.5,141.77,127.77,107.27,42.8,50.1,178.9,163.37,120.1,136.62,120.03,97.47,52.27,283.83,20,36.53,33.07,39.27
07/06/2024,Kerala,50.67,44.67,45.5,102.36,184.36,150.4,136.8,116.45,44.38,54.38,220.33,170.44,142.54,130,118.23,101,62.85,235.23,15.38,47.69,37.46,66.69
07/06/2024,Madhya Pradesh,40.93,28.85,34.3,85.8,166.13,120.96,115.89,91.63,43.43,57.25,190.53,136.36,120.93,112.4,136.34,110.36,47.52,253.93,19.86,25.87,26.16,27.24
07/06/2024,Maharashtra,51.58,38.32,42.58,89.68,174.84,134.63,127.84,96.68,42.79,59.58,182.16,157.83,127.74,111.11,121.37,102.13,54.89,298.68,23.32,37.16,31.26,39.11
07/06/2024,Manipur,50,41,38,100,180,142,137,90,52,,,153,142,142,,142,81,220,25,35,43,35
07/06/2024,Meghalaya,44.3,38.5,37.1,92.17,163.57,134.5,121.2,89.8,49.4,73.8,,133.8,138.5,126.1,172,126,73.83,371.2,21.3,33.9,40.5,43.7
07/06/2024,Mizoram,48.18,42,45.9,107.44,150.71,125.86,128.11,99.55,50.27,78,159.5,185.55,170.8,128.45,183.67,130.83,119.63,479.67,29.18,40.18,53.36,75.91
07/06/2024,Nagaland,41.75,42.88,48,102.08,129.83,132.5,121.67,97.38,50.4,73.69,200,137.8,157.5,148.2,195,142.5,84,325,18.07,33.6,49.67,50.33
07/06/2024,Odisha,38.33,36.89,40,83.17,161.42,121.71,113.25,82.63,44.91,52.27,164.67,140.25,114.78,123.9,116.25,95.75,50.82,282.31,25.73,27.13,31.78,38.87
07/06/2024,Puducherry,64,45,40,91,173,134,120,90,43,48,193,146,141,,110,98,48,297,26,43,36,28
07/06/2024,Punjab,40.21,25,31,89.21,158.79,127.29,116.43,99.07,44.93,59.86,199.92,128.57,120.43,118,134.33,101.6,53,271.71,27,25.07,30.21,22.36
07/06/2024,Rajasthan,40.11,29.39,33.25,75.71,126.86,110.54,102.93,89.57,42.63,51.43,179,151.19,123.88,137.36,156,115,44.07,303.85,20.74,24.48,33.44,33.41
07/06/2024,Sikkim,54.2,35.2,38.4,85,133,126.6,124,101,49,63.4,,166.6,127.2,137.5,170.2,,59.2,410,18.6,36.4,47,42
07/06/2024,Tamil Nadu,61.7,45.91,54.94,92.97,180.26,144.41,125.09,93.83,44.03,47.38,204.15,173.63,126.62,,112.91,93.47,56.24,311.42,24.24,45.85,37.21,49.47
07/06/2024,Telangana,54,42.7,45.9,80.11,165.1,129.1,118.9,92.5,41.3,66.2,163.4,165.6,121.1,150.5,115.9,97.7,57,301.7,20.67,31.5,26.7,32.7
07/06/2024,Tripura,38.25,,39,87,144.33,128,111.25,103.75,48,70.25,,131.75,122.67,116,139.75,100.25,69.25,221.5,10,34.5,35.5,39
07/06/2024,Uttar Pradesh,38.64,26.11,32.36,82.07,154.72,119.4,114.21,93.52,43.68,62.73,189.07,139.27,128.12,130.59,152.42,110.88,48.69,239.53,26.6,24.36,28.43,26.83
07/06/2024,Uttarakhand,36.67,27.67,33,89,149.33,115.33,115.33,103.33,42,59,155.67,138.33,133,130.67,146.67,116.5,54.33,249.67,28.33,28.33,26,25
07/06/2024,West Bengal,44.36,30.1,37.77,85.05,156.86,124.95,129.32,106.18,46.05,55.05,200.9,132.68,112.55,113.27,126.82,99.55,52.41,274.05,22.27,28.36,31.73,36.5
08/06/2024,Andaman and Nicobar,47.5,,67,95,169,155,136.5,103.5,55.5,73,232.5,176,166.5,,133,116,79.5,300,19.5,60,55,75
08/06/2024,Andhra Pradesh,60.25,44,44.25,89.25,176.25,135.5,125.25,97.5,43.5,59,164.75,164,110.5,124.5,109.25,91.5,60.25,359.25,22.25,33,28,39.5
08/06/2024,Arunachal pradesh,46,45,44.75,99.25,151.75,133.25,123.25,103.25,53.33,76,143.5,154.33,152.33,136,177.67,,77.5,298.5,17.5,32.67,40,50
08/06/2024,Assam,41.82,32.44,36.59,88.73,158.09,115,116.09,92.18,47.48,72.67,212.8,148.1,132.88,130.19,143.47,109.14,59.71,251.48,14,30.09,34.36,40.95
08/06/2024,Bihar,38.32,26.94,33,81.03,152.29,120.82,114.71,80.03,44.29,55.74,177.71,133.76,121.21,125.21,157.15,103.29,47.26,273.91,23.41,22.61,29.03,30.18
08/06/2024,Chandigarh,40,32,33,95,178,130,125,98,44,62,190,148,120,129,135,105,55,253,28,24,32,35
08/06/2024,Chhattisgarh,39.25,38.5,38.75,86.75,159,116.5,118,89.5,43,59,188.25,141.5,122.75,129.25,150.5,113.5,48,222.25,23.5,30,32,33
08/06/2024,Delhi,40,29,31,93,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,30,37,28
08/06/2024,DNH and DD,50,41,47.67,89.33,174.67,146.67,131,95,43.33,65,192,148.67,134,134.67,127,107.67,63.67,350,27.33,32,30,49.67
08/06/2024,Gujarat,45.33,38.83,41.83,89.5,170.17,129.17,120.33,95.83,43,61,178.67,146.17,135.67,133.33,128.17,108.17,51.2,252.5,18.8,32,32,35.5
08/06/2024,Haryana,46,28.67,34,76.33,128,109,106.67,96.33,43.67,60,186.67,141.33,127.33,132.67,153.67,111.33,47.67,237.33,25,17.33,28.67,22.33
08/06/2024,Himachal Pradesh,40.83,22,33.33,87,166.33,135,116.17,89.25,47.17,52.25,219.5,161,137.5,129.1,143.5,118,48.83,270.33,27.5,30.58,36,28.67
08/06/2024,Jammu and Kashmir,48.8,31.5,37.6,92,164,132.4,125,101.6,49.8,51.8,,147.4,133,127,145.75,120.67,55.6,316,27.4,31.8,34.4,33.2
08/06/2024,Jharkhand,39.53,32,35.24,81.76,156.12,119.53,111.12,82.94,45.56,58.73,175.5,139.41,121.76,126.69,151.21,104.19,48.56,282.25,23.75,25.59,29.29,29.88
08/06/2024,Karnataka,60,43.9,47.43,94.33,166.7,142.1,127.77,106.67,42.83,50.57,178.67,163.8,120.2,137.03,120.33,97.47,51.93,290.6,20.1,36.7,33.47,39.1
08/06/2024,Madhya Pradesh,40.27,28.5,34.17,86.6,167.1,120.9,115.97,91.83,43.36,57.95,192.25,135.25,120.05,112.3,133.77,109.35,47.51,254.28,19.51,25.82,25.56,27.51
08/06/2024,Maharashtra,51.58,38.37,42.63,89.89,175.16,134.63,127.63,96.68,42.84,59.58,182.16,157.78,127.84,111.21,121.37,102.25,55,298.68,23.32,37.47,31.95,40.11
08/06/2024,Meghalaya,44.14,38.43,37,90.75,157.4,134,121.43,90.86,49.29,74.29,,129.14,138,124.57,185.33,175,73.2,347.14,23.14,34.43,41.71,43.86
08/06/2024,Mizoram,50,37.5,52.5,98,,,120,102.5,50,77.5,,185,220,140,,,133.5,520,27.5,50,65,63.5
08/06/2024,Nagaland,41.75,42.88,48,102.08,130.25,132.5,121.67,97.69,50.38,73.64,200,139.19,166,150.19,195,142.5,84,322.67,17.88,33.38,50.63,51.25
08/06/2024,Odisha,38.64,37.25,39.55,83.18,161.55,124.27,113.09,83.27,45.27,52.55,172.5,138,113.3,120.33,114.55,95.18,52.27,288.22,26.45,27.64,31.73,40
08/06/2024,Punjab,39.21,25.07,30.86,89.71,160.21,126.93,117.57,99.36,44.79,59.57,199.92,127.93,121.93,118.79,132.33,101.4,54.21,274.21,26.43,25.29,30.5,22.29
08/06/2024,Rajasthan,40.63,30,31.88,71.5,136.25,111.13,106.38,91.88,41.5,51.43,170.13,140.75,119,130.88,150.88,111,43.5,289.13,20.29,23,33.38,32.25
08/06/2024,Sikkim,55.5,35.25,39.25,83.75,138.75,130.75,122,101.25,48.75,63,,169.75,126.5,139.33,175.75,,59,392.5,18.25,36.75,48.75,42.5
08/06/2024,Tamil Nadu,62,44.91,56.17,92.26,178.91,143.7,125.17,95.7,44.17,47.65,203.83,178.52,129.22,,112.39,93.09,56.17,315.94,24.91,46.22,37.22,50.13
08/06/2024,Telangana,52,42.5,48.5,82.33,166.75,128.5,115.5,95,41.75,63.75,161.25,158.25,115.25,142.5,115.5,98.25,55.5,303.5,22.33,29.25,25.75,32.75
08/06/2024,Tripura,38.25,,39,87,144.33,128,111.25,103.75,48,70.25,,131.75,122.67,116,139.75,100.25,69.25,221.5,10,34.5,36.75,39.75
08/06/2024,Uttar Pradesh,38.91,26.01,32.32,82.71,156.31,120.59,115.03,93.13,43.81,62.72,189.48,139.01,128.34,130.53,151.81,110.91,49.13,238,26.49,24.76,28.76,26.6
08/06/2024,Uttarakhand,36,24,31,80,168,115,120,111,44,57,150,127,120,125,165,,56,280,28,30,30,22
08/06/2024,West Bengal,42.88,29.44,37.65,81.41,154.59,120.38,124.47,104.47,45.65,54.59,195.8,130.47,111.29,111.47,126.12,100.29,51.41,266.24,21.18,27.88,32.18,38.24
09/06/2024,Andhra Pradesh,58,45.33,45.67,90.67,171.67,137.33,127,96.67,43.33,62.33,162,161,110.67,110,108.33,92.67,60.33,350,22,33.67,28,45.33
09/06/2024,Arunachal pradesh,48,45,46.33,102.33,149,131,121,107.67,55,80,167,176.5,168.5,144,186.5,,80,327,20,31,40,50
09/06/2024,Assam,41.47,32.5,36.65,85.94,157.06,110.64,116.88,93.06,47.47,72.35,233,146.88,134,130.82,147.23,108.55,60.88,252.35,14.71,30.29,33.24,41.56
09/06/2024,Bihar,37.67,26.94,32,82.44,155.44,122.61,116.5,80.33,44.5,56,175.33,134.17,120.06,124.17,153.56,104.33,47.22,281.33,23.33,23.24,28,29.65
09/06/2024,Chandigarh,40,32,33,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,24,32,35
09/06/2024,Chhattisgarh,37,37.67,38,82.33,154.33,115.33,113,82.67,44,62,189.33,128,112.67,119,142.67,105.67,49,229.67,22.33,31,28.33,29
09/06/2024,Delhi,40,29,31,93,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,30,38,28
09/06/2024,DNH and DD,50,41,47.67,89.33,174.67,146.67,131,95,43.33,65,192,148.67,134,134.67,127,107.67,63.67,350,27.33,32,30,49.67
09/06/2024,Gujarat,44.4,39.8,42.4,89.4,170.6,128,122.8,95,43,61.6,177.4,144.4,133.8,134,128.2,110.2,50.75,256.4,16.6,32.2,32.8,37
09/06/2024,Haryana,46,28.67,34,76.33,128,109,106.67,96.33,43.67,60,186.67,141.33,127.33,132.67,153.67,111.33,47.67,237.33,25,17,28.67,22
09/06/2024,Himachal Pradesh,40.91,22,33.36,86.82,165.73,134.91,116.45,90,47.09,52.36,221.33,161,138.18,130.22,145.67,118,48.55,274.91,27.45,30.45,36.09,29.18
09/06/2024,Jammu and Kashmir,41,37,50,95,150,145,138,100,50,45,,145,138,130,173,,58,290,28,38,38,38
09/06/2024,Jharkhand,39.75,32,34.92,81.5,155.67,116.25,109.92,83.25,45.27,58.6,189.75,138.08,118.83,125.82,154,105.45,48.45,283.27,23.09,25.25,28.67,29.75
09/06/2024,Karnataka,59.76,43.83,47.69,94.48,166.1,142.55,127.72,107.21,42.69,50.66,179.45,163.24,120.83,137.54,120.45,97.38,51.69,291.14,20.28,36.66,33.59,38.66
09/06/2024,Madhya Pradesh,41.11,28.62,34.08,86.41,166.42,120.7,115.03,92.11,43.5,57.33,190.86,134.03,119.57,112.08,136.89,111.47,47.44,248.78,19.31,25.97,26.14,27.5
09/06/2024,Maharashtra,51.53,38.37,42.47,89.89,175.32,134.58,127.63,96.68,42.84,59.58,182.21,157.78,127.84,111.16,121.37,102.19,55.05,298.68,23.32,37.53,32.47,40.74
09/06/2024,Meghalaya,43.67,37.33,35.67,91.67,155.67,127.67,121.67,92.67,48.33,74,,133.33,133.5,122.33,210,,65,330,30,33.67,41,44.33
09/06/2024,Mizoram,50,40,45,98,,,120,105,50,75,,190,220,150,,,100,520,25,40,60,70
09/06/2024,Odisha,37.5,37.11,40.4,84.4,163,124.7,111.9,82.6,45.7,52.6,172.5,139,114.33,120.33,115.2,95.6,51.7,276.44,26.5,27.5,32.9,41.7
09/06/2024,Puducherry,64,45,40,91,173,134,120,90,43,48,193,146,141,,110,98,48,297,26,43,36,28
09/06/2024,Punjab,39.08,25.42,30.75,89.75,159.5,126.83,116.33,98.67,44.92,60.42,196.64,128.33,122.25,119,132,101.67,53.75,273.08,26.25,25.5,30.33,21.08
09/06/2024,Rajasthan,38.4,28.6,31.6,75.4,136,116.2,108.2,90.6,41.2,52.25,177,139.4,125.2,137,160.5,,44.4,311.4,22.75,24.6,31.6,32.8
09/06/2024,Sikkim,57,34,40.5,80,127.5,132.5,119,105,47.5,62.5,,185,140.5,167,200,,58,381.5,19,35,60,47.5
09/06/2024,Tamil Nadu,60.94,44.94,54.33,92.28,179.89,143.28,125.28,90.79,44.28,46.83,203.61,177.88,128.22,,113.17,93.33,57,321.31,24.65,45.5,36.78,50
09/06/2024,Telangana,54,42.5,49,85,162,131,115,93.5,40.5,61.5,151.5,144,96.5,103,108,91.5,55.5,289,25,27,25.5,34.5
09/06/2024,Uttar Pradesh,39,26,32.21,83.65,156.6,121.72,114.51,93.21,43.82,62.84,190.54,138.74,128.12,130.07,151.71,111.75,49.26,236.14,26.46,24.66,28.46,26.09
09/06/2024,West Bengal,42.38,28.67,37.46,80.85,157.62,119.54,125.31,105.69,45.54,54.77,195.88,132,110.92,112.62,128.38,100.77,52.46,261,20.69,27.69,33.38,40.54
10/06/2024,Andaman and Nicobar,47.5,,67,95,169,155,136.5,103.5,55.5,73,232.5,176,166.5,,133,116,79.5,300,19.5,55,55,80
10/06/2024,Andhra Pradesh,60.2,44.4,47.4,87.4,173,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143,110.4,91.2,59,327,21.8,33.8,29.8,33.6
10/06/2024,Arunachal pradesh,46,45,44.75,100.5,151.75,133.25,123.25,103.25,53.33,75.67,143.5,156,152.33,136,177.67,,76,303.5,19.33,32.67,40,50
10/06/2024,Assam,42.48,32.55,36.24,88.48,158.84,114.52,115.6,93.16,47.36,71.28,209,149.12,136.1,135.6,147.57,114.18,59.4,249.88,13.6,29.72,36.04,40.35
10/06/2024,Bihar,38.06,27,33,80.65,150.88,121.59,113.76,80,44.21,56.3,177.75,133.82,122.03,125.67,161.56,103.21,46.94,275.7,22.91,22.18,29.73,29.67
10/06/2024,Chhattisgarh,42,39,41,93,162.67,112.83,112.5,94,43,57.67,200.17,143.83,123.17,125.67,141.83,109,47.67,260.5,24.5,29.17,33.33,31.33
10/06/2024,Delhi,40,29,31,93,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,32,42,28
10/06/2024,DNH and DD,50,41,47.67,91,175.67,148.33,132.33,96.33,43.33,65,192,150.33,134,135.33,127.67,107.67,63.67,350,27.33,32.33,31,47.33
10/06/2024,Goa,52.5,48,45.5,93.5,179.5,152.5,135,98,44,57.5,220.5,162.5,140.5,152.5,117.5,98.5,59,329,24.5,42.5,42.5,55
10/06/2024,Gujarat,40.57,37.29,40,87.14,169.14,123.71,116.57,91.57,42.71,60.57,178,146.43,129.57,130.29,125,101.71,55,248.86,16.43,29.71,35.29,39.29
10/06/2024,Haryana,44.33,31.67,34.33,82,139,111.33,113.67,99,44.33,61.67,175.33,128.67,126.67,124,150.67,108.33,50.33,245,27.33,21,37.33,25.67
10/06/2024,Himachal Pradesh,40.83,22,33.5,88,167.17,134.92,116.08,89.33,47.08,52.08,219.5,161.33,137.58,129.2,143.5,118,48.83,270.33,27.5,30.92,37.25,28.42
10/06/2024,Jammu and Kashmir,46.5,30,37.83,92.5,155,127.83,123.83,101.33,52,51,,148.33,135.33,129.67,144.2,126,54.17,317.83,27.4,29.83,35.83,33.67
10/06/2024,Jharkhand,39.47,31.39,34.84,81.26,156.26,119.89,111.63,82.37,45.61,59,178.92,138.05,123.79,125.83,151.13,103.59,49.06,286.94,24.33,26.21,29.79,29.89
10/06/2024,Karnataka,59.94,43.75,47.59,93.63,166.44,141.47,127.47,106.84,42.78,50.94,180.47,162.91,120.38,136.35,120.38,97.59,52.78,290.03,20.5,36.16,33.42,40.81
10/06/2024,Kerala,50.77,44.92,46,102.42,185.75,150.45,137.36,115.17,44.08,54.38,221.4,170.63,145.58,,117.62,99.36,61.5,231.67,14.6,46.14,39.64,62.5
10/06/2024,Madhya Pradesh,40.92,29,34.31,85.98,164.44,119.42,115.17,91.52,43.38,57.71,189.5,135.29,120.71,112.6,136.51,110.39,47.73,252.63,19.6,25.85,27.42,28.44
10/06/2024,Maharashtra,51.63,38.58,42.37,90.32,175.84,134.79,127.05,96.42,42.84,59.58,182.16,157.78,127.84,111.47,121.32,102.31,55.05,298.68,23.32,37.32,33.42,42.21
10/06/2024,Manipur,50,45,40,100,180,145,140,95,55,,,150,140,140,,140,85,220,25,40,45,35
10/06/2024,Meghalaya,45.6,38.4,37,92.17,163,135,121.1,89.8,49.5,73.8,,134.8,138.5,127.1,172,126,73.83,371.2,21.3,34.7,40,44.2
10/06/2024,Mizoram,48.18,42,45.9,107.44,150.71,125.86,128.11,99.55,50.27,78,159.5,185.55,170.8,128,183.67,130.83,119.63,479.67,29.18,40.27,53.36,75.91
10/06/2024,Nagaland,41.64,42.17,48.79,106,131.3,135.83,121.15,98.21,50.71,73.25,,136.93,157.5,147.36,190,120,84.44,329.23,17.93,33.57,50.71,52.86
10/06/2024,Odisha,38.23,37.69,40,83.86,162.59,122.59,112.68,83.32,44.86,53,161.25,140.27,115.95,125.17,117.36,95.82,50.57,278.94,25.86,26.5,34.91,40.77
10/06/2024,Puducherry,64,45,40,91,173,136,120,90,43,48,193,146,141,,110,98,48,297,26,43,36,28
10/06/2024,Punjab,39.14,25.14,30.86,89.79,160.64,127.07,117.43,99,44.85,59.69,197.82,126.77,121.31,117.69,131.45,101.33,54.08,271.31,26.62,25.62,31.46,22.23
10/06/2024,Rajasthan,40.85,29.3,33.22,76.81,129.41,111.48,104.44,91.07,42.96,52.35,180.69,149.54,125.44,135.36,157.05,116.25,45.08,296.64,20.61,25.46,32.08,32.77
10/06/2024,Sikkim,54.2,35.2,38.4,85,133,126.6,124,101,49,63.4,,166.6,127.2,137.5,170.2,,59.2,410,18.6,36.4,47,42
